Gene stable ID,Human gene stable ID
ENSMUSG00000057802,
ENSMUSG00000073125,
ENSMUSG00000103684,
ENSMUSG00000031362,
ENSMUSG00000100936,
ENSMUSG00000086929,
ENSMUSG00000045064,ENSG00000119703
ENSMUSG00000025792,ENSG00000183048
ENSMUSG00000091455,ENSG00000165899
ENSMUSG00000031772,ENSG00000152910
ENSMUSG00000067764,
ENSMUSG00000049932,ENSG00000188486
ENSMUSG00000030062,ENSG00000163902
ENSMUSG00000095484,
ENSMUSG00000081747,
ENSMUSG00000078317,ENSG00000277203
ENSMUSG00000078317,ENSG00000277150
ENSMUSG00000078317,ENSG00000274791
ENSMUSG00000025586,ENSG00000214575
ENSMUSG00000001750,ENSG00000110719
ENSMUSG00000032496,ENSG00000012223
ENSMUSG00000058147,
ENSMUSG00000108945,
ENSMUSG00000019303,ENSG00000131470
ENSMUSG00000071745,
ENSMUSG00000109319,
ENSMUSG00000110455,
ENSMUSG00000113348,
ENSMUSG00000114060,
ENSMUSG00000068264,ENSG00000125843
ENSMUSG00000017801,ENSG00000108788
ENSMUSG00000040697,ENSG00000116138
ENSMUSG00000104654,
ENSMUSG00000032126,ENSG00000256269
ENSMUSG00000111387,
ENSMUSG00000084983,
ENSMUSG00000025127,ENSG00000215644
ENSMUSG00000043953,ENSG00000121797
ENSMUSG00000097529,
ENSMUSG00000000340,ENSG00000137992
ENSMUSG00000038658,ENSG00000107036
ENSMUSG00000100890,
ENSMUSG00000104380,
ENSMUSG00000102029,
ENSMUSG00000102249,
ENSMUSG00000034275,ENSG00000080854
ENSMUSG00000040123,ENSG00000132950
ENSMUSG00000105992,
ENSMUSG00000082394,
ENSMUSG00000034110,ENSG00000243335
ENSMUSG00000040533,ENSG00000162510
ENSMUSG00000033543,ENSG00000140307
ENSMUSG00000032497,ENSG00000093167
ENSMUSG00000110920,
ENSMUSG00000027188,ENSG00000149090
ENSMUSG00000112977,
ENSMUSG00000034437,
ENSMUSG00000084766,
ENSMUSG00000085551,
ENSMUSG00000034551,ENSG00000165259
ENSMUSG00000112008,
ENSMUSG00000113704,
ENSMUSG00000085804,
ENSMUSG00000059436,ENSG00000125952
ENSMUSG00000039747,ENSG00000160991
ENSMUSG00000086262,
ENSMUSG00000113015,
ENSMUSG00000016481,ENSG00000197721
ENSMUSG00000016481,ENSG00000203710
ENSMUSG00000035901,ENSG00000184014
ENSMUSG00000021585,ENSG00000153113
ENSMUSG00000037523,ENSG00000088888
ENSMUSG00000078439,ENSG00000095932
ENSMUSG00000083898,
ENSMUSG00000031174,ENSG00000156313
ENSMUSG00000054737,ENSG00000147118
ENSMUSG00000081740,
ENSMUSG00000082329,
ENSMUSG00000087445,
ENSMUSG00000032226,ENSG00000140297
ENSMUSG00000082546,
ENSMUSG00000111176,
ENSMUSG00000082752,
ENSMUSG00000038685,ENSG00000258366
ENSMUSG00000038685,ENSG00000026036
ENSMUSG00000111043,
ENSMUSG00000093673,
ENSMUSG00000067787,ENSG00000166619
ENSMUSG00000031991,ENSG00000166118
ENSMUSG00000061111,ENSG00000225663
ENSMUSG00000014606,ENSG00000108528
ENSMUSG00000067786,
ENSMUSG00000084803,
ENSMUSG00000078490,ENSG00000142609
ENSMUSG00000020790,ENSG00000185722
ENSMUSG00000040746,ENSG00000108523
ENSMUSG00000032224,ENSG00000157470
ENSMUSG00000110106,
ENSMUSG00000003464,ENSG00000162735
ENSMUSG00000109727,
ENSMUSG00000032498,ENSG00000076242
ENSMUSG00000031666,ENSG00000103479
ENSMUSG00000033439,ENSG00000122435
ENSMUSG00000083037,
ENSMUSG00000079460,
ENSMUSG00000025129,ENSG00000182676
ENSMUSG00000083392,
ENSMUSG00000034555,
ENSMUSG00000109156,
ENSMUSG00000018293,ENSG00000108518
ENSMUSG00000066027,ENSG00000204505
ENSMUSG00000066027,ENSG00000280267
ENSMUSG00000066027,ENSG00000204479
ENSMUSG00000066027,ENSG00000229571
ENSMUSG00000066027,ENSG00000270601
ENSMUSG00000066027,ENSG00000116721
ENSMUSG00000066027,ENSG00000116726
ENSMUSG00000066027,ENSG00000274764
ENSMUSG00000066027,ENSG00000204481
ENSMUSG00000066027,ENSG00000182330
ENSMUSG00000066027,ENSG00000204510
ENSMUSG00000066027,ENSG00000204501
ENSMUSG00000066027,ENSG00000232423
ENSMUSG00000066027,ENSG00000204478
ENSMUSG00000066027,ENSG00000204480
ENSMUSG00000066027,ENSG00000279804
ENSMUSG00000066027,ENSG00000120952
ENSMUSG00000066027,ENSG00000279169
ENSMUSG00000066027,ENSG00000237700
ENSMUSG00000066027,ENSG00000243073
ENSMUSG00000066027,ENSG00000239810
ENSMUSG00000066027,ENSG00000187545
ENSMUSG00000082669,
ENSMUSG00000111694,
ENSMUSG00000111186,
ENSMUSG00000031302,ENSG00000196338
ENSMUSG00000100017,
ENSMUSG00000089803,
ENSMUSG00000110892,
ENSMUSG00000046785,ENSG00000178567
ENSMUSG00000110745,
ENSMUSG00000025130,ENSG00000185624
ENSMUSG00000027961,ENSG00000122477
ENSMUSG00000096056,
ENSMUSG00000110851,
ENSMUSG00000079487,ENSG00000184634
ENSMUSG00000110189,
ENSMUSG00000109755,
ENSMUSG00000046352,ENSG00000165474
ENSMUSG00000031667,ENSG00000166971
ENSMUSG00000106025,
ENSMUSG00000027959,ENSG00000156876
ENSMUSG00000089840,
ENSMUSG00000112857,
ENSMUSG00000032087,ENSG00000177103
ENSMUSG00000062296,ENSG00000168016
ENSMUSG00000111223,
ENSMUSG00000031802,
ENSMUSG00000029623,ENSG00000106244
ENSMUSG00000111212,
ENSMUSG00000031925,ENSG00000184384
ENSMUSG00000032220,ENSG00000157483
ENSMUSG00000106415,
ENSMUSG00000085260,
ENSMUSG00000105592,
ENSMUSG00000112363,
ENSMUSG00000029622,ENSG00000130429
ENSMUSG00000090084,ENSG00000101955
ENSMUSG00000078531,
ENSMUSG00000109401,
ENSMUSG00000097074,
ENSMUSG00000037167,ENSG00000171478
ENSMUSG00000037167,ENSG00000171489
ENSMUSG00000032500,ENSG00000163673
ENSMUSG00000086818,
ENSMUSG00000058579,ENSG00000142615
ENSMUSG00000058579,ENSG00000215704
ENSMUSG00000106647,
ENSMUSG00000025525,ENSG00000155008
ENSMUSG00000038279,ENSG00000111641
ENSMUSG00000039737,ENSG00000128563
ENSMUSG00000085464,
ENSMUSG00000021583,ENSG00000164307
ENSMUSG00000025132,ENSG00000141522
ENSMUSG00000062478,ENSG00000162438
ENSMUSG00000087547,
ENSMUSG00000028914,ENSG00000132906
ENSMUSG00000049892,ENSG00000108551
ENSMUSG00000025527,ENSG00000184788
ENSMUSG00000032502,ENSG00000144681
ENSMUSG00000061650,ENSG00000141026
ENSMUSG00000112858,ENSG00000215277
ENSMUSG00000032218,ENSG00000157456
ENSMUSG00000023216,ENSG00000166947
ENSMUSG00000021268,
ENSMUSG00000106232,
ENSMUSG00000085156,
ENSMUSG00000111054,
ENSMUSG00000102881,
ENSMUSG00000086420,
ENSMUSG00000057156,ENSG00000215271
ENSMUSG00000026407,ENSG00000081248
ENSMUSG00000112030,
ENSMUSG00000113425,
ENSMUSG00000027649,ENSG00000132792
ENSMUSG00000026484,ENSG00000121481
ENSMUSG00000038255,ENSG00000171532
ENSMUSG00000040055,ENSG00000121742
ENSMUSG00000025134,ENSG00000183684
ENSMUSG00000103238,
ENSMUSG00000103928,
ENSMUSG00000110541,
ENSMUSG00000053286,ENSG00000121486
ENSMUSG00000062960,ENSG00000128052
ENSMUSG00000087185,
ENSMUSG00000083520,
ENSMUSG00000109877,
ENSMUSG00000031079,
ENSMUSG00000087531,
ENSMUSG00000083818,
ENSMUSG00000110741,
ENSMUSG00000062257,ENSG00000183715
ENSMUSG00000027597,ENSG00000101444
ENSMUSG00000005089,ENSG00000110436
ENSMUSG00000087408,ENSG00000130283
ENSMUSG00000087408,ENSG00000223802
ENSMUSG00000114191,
ENSMUSG00000025528,
ENSMUSG00000087254,
ENSMUSG00000086828,
ENSMUSG00000032217,ENSG00000157450
ENSMUSG00000108974,
ENSMUSG00000021065,ENSG00000033170
ENSMUSG00000058301,ENSG00000005007
ENSMUSG00000100585,
ENSMUSG00000112150,
ENSMUSG00000006731,ENSG00000135454
ENSMUSG00000026443,ENSG00000170382
ENSMUSG00000017802,ENSG00000141699
ENSMUSG00000109523,ENSG00000130283
ENSMUSG00000109523,ENSG00000223802
ENSMUSG00000010751,
ENSMUSG00000034290,ENSG00000119638
ENSMUSG00000087171,
ENSMUSG00000026554,ENSG00000258465
ENSMUSG00000026554,ENSG00000132716
ENSMUSG00000040441,ENSG00000135502
ENSMUSG00000086302,
ENSMUSG00000086856,
ENSMUSG00000045362,
ENSMUSG00000025135,ENSG00000141552
ENSMUSG00000041930,ENSG00000139438
ENSMUSG00000037613,
ENSMUSG00000028613,ENSG00000157193
ENSMUSG00000113793,
ENSMUSG00000041703,ENSG00000139800
ENSMUSG00000102717,
ENSMUSG00000025529,ENSG00000147180
ENSMUSG00000102838,
ENSMUSG00000044034,ENSG00000183979
ENSMUSG00000109251,
ENSMUSG00000109496,
ENSMUSG00000096289,
ENSMUSG00000108970,
ENSMUSG00000062444,ENSG00000103723
ENSMUSG00000062846,
ENSMUSG00000054874,ENSG00000197136
ENSMUSG00000037843,ENSG00000132821
ENSMUSG00000033409,ENSG00000205078
ENSMUSG00000080893,
ENSMUSG00000061718,ENSG00000131771
ENSMUSG00000025340,ENSG00000154710
ENSMUSG00000013698,ENSG00000162734
ENSMUSG00000025137,ENSG00000185813
ENSMUSG00000081399,
ENSMUSG00000034607,ENSG00000124429
ENSMUSG00000113968,
ENSMUSG00000031913,ENSG00000260914
ENSMUSG00000031913,ENSG00000132612
ENSMUSG00000113520,
ENSMUSG00000056359,
ENSMUSG00000078931,ENSG00000258429
ENSMUSG00000085944,
ENSMUSG00000113582,
ENSMUSG00000078908,ENSG00000103111
ENSMUSG00000114178,
ENSMUSG00000031916,ENSG00000272617
ENSMUSG00000031916,ENSG00000260371
ENSMUSG00000031916,ENSG00000213380
ENSMUSG00000027650,ENSG00000101407
ENSMUSG00000032503,ENSG00000172995
ENSMUSG00000094092,
ENSMUSG00000110581,
ENSMUSG00000113564,
ENSMUSG00000083734,
ENSMUSG00000085555,
ENSMUSG00000062814,ENSG00000241476
ENSMUSG00000062814,ENSG00000268009
ENSMUSG00000062814,ENSG00000165583
ENSMUSG00000062814,ENSG00000165584
ENSMUSG00000062814,ENSG00000187754
ENSMUSG00000062814,ENSG00000268447
ENSMUSG00000062814,ENSG00000269791
ENSMUSG00000062814,ENSG00000126752
ENSMUSG00000095799,
ENSMUSG00000054400,ENSG00000217555
ENSMUSG00000113801,
ENSMUSG00000026616,ENSG00000117322
ENSMUSG00000035198,ENSG00000131462
ENSMUSG00000038271,ENSG00000010295
ENSMUSG00000020521,ENSG00000189050
ENSMUSG00000083892,
ENSMUSG00000114145,
ENSMUSG00000087358,
ENSMUSG00000079029,
ENSMUSG00000040964,ENSG00000074964
ENSMUSG00000020516,ENSG00000108443
ENSMUSG00000032212,ENSG00000137776
ENSMUSG00000111698,
ENSMUSG00000106243,
ENSMUSG00000113133,
ENSMUSG00000084097,
ENSMUSG00000020225,ENSG00000228144
ENSMUSG00000020225,ENSG00000155957
ENSMUSG00000082636,
ENSMUSG00000087586,
ENSMUSG00000081555,
ENSMUSG00000083103,
ENSMUSG00000094635,
ENSMUSG00000081082,
ENSMUSG00000082392,
ENSMUSG00000051537,
ENSMUSG00000084963,
ENSMUSG00000098784,
ENSMUSG00000083560,
ENSMUSG00000112979,
ENSMUSG00000114020,
ENSMUSG00000045007,ENSG00000037042
ENSMUSG00000018167,ENSG00000131748
ENSMUSG00000020227,ENSG00000090376
ENSMUSG00000005057,ENSG00000160999
ENSMUSG00000028612,
ENSMUSG00000073779,
ENSMUSG00000057666,
ENSMUSG00000108010,
ENSMUSG00000102709,
ENSMUSG00000008193,ENSG00000142539
ENSMUSG00000008193,ENSG00000269404
ENSMUSG00000113829,
ENSMUSG00000112910,
ENSMUSG00000068122,ENSG00000180772
ENSMUSG00000037979,ENSG00000119242
ENSMUSG00000093847,
ENSMUSG00000112894,
ENSMUSG00000034205,ENSG00000134013
ENSMUSG00000113583,
ENSMUSG00000112401,
ENSMUSG00000105820,
ENSMUSG00000000301,ENSG00000133027
ENSMUSG00000061524,ENSG00000043355
ENSMUSG00000015053,ENSG00000179348
ENSMUSG00000025138,ENSG00000187531
ENSMUSG00000022066,ENSG00000197217
ENSMUSG00000113488,
ENSMUSG00000021248,ENSG00000170348
ENSMUSG00000061877,
ENSMUSG00000113072,
ENSMUSG00000098975,
ENSMUSG00000113752,
ENSMUSG00000040040,ENSG00000032742
ENSMUSG00000099027,
ENSMUSG00000104371,
ENSMUSG00000109343,
ENSMUSG00000037820,ENSG00000198959
ENSMUSG00000051510,ENSG00000197063
ENSMUSG00000027598,ENSG00000078747
ENSMUSG00000082044,
ENSMUSG00000048911,ENSG00000101236
ENSMUSG00000086486,
ENSMUSG00000081238,
ENSMUSG00000110430,ENSG00000089505
ENSMUSG00000014158,ENSG00000111199
ENSMUSG00000006127,ENSG00000132376
ENSMUSG00000074127,ENSG00000140932
ENSMUSG00000086329,
ENSMUSG00000042444,ENSG00000128923
ENSMUSG00000100860,
ENSMUSG00000079215,ENSG00000179195
ENSMUSG00000037514,ENSG00000125779
ENSMUSG00000027651,ENSG00000101413
ENSMUSG00000031876,ENSG00000089505
ENSMUSG00000093669,
ENSMUSG00000094846,
ENSMUSG00000062908,ENSG00000117054
ENSMUSG00000047554,ENSG00000166471
ENSMUSG00000082596,
ENSMUSG00000085449,
ENSMUSG00000059974,ENSG00000182667
ENSMUSG00000092283,
ENSMUSG00000054693,ENSG00000137845
ENSMUSG00000040731,ENSG00000106682
ENSMUSG00000085638,
ENSMUSG00000104453,
ENSMUSG00000097277,
ENSMUSG00000037606,ENSG00000021762
ENSMUSG00000025531,ENSG00000188419
ENSMUSG00000109285,
ENSMUSG00000087038,
ENSMUSG00000089718,
ENSMUSG00000102236,
ENSMUSG00000110876,
ENSMUSG00000104297,
ENSMUSG00000110996,
ENSMUSG00000102307,
ENSMUSG00000045678,
ENSMUSG00000111235,
ENSMUSG00000107143,
ENSMUSG00000007877,ENSG00000173991
ENSMUSG00000111022,
ENSMUSG00000085925,ENSG00000254656
ENSMUSG00000025140,ENSG00000183010
ENSMUSG00000053094,ENSG00000106609
ENSMUSG00000110784,
ENSMUSG00000111532,
ENSMUSG00000100228,
ENSMUSG00000054387,ENSG00000198625
ENSMUSG00000111199,
ENSMUSG00000106751,
ENSMUSG00000038216,ENSG00000141744
ENSMUSG00000109890,
ENSMUSG00000110642,
ENSMUSG00000111388,
ENSMUSG00000111364,
ENSMUSG00000007122,ENSG00000143318
ENSMUSG00000050276,ENSG00000182170
ENSMUSG00000057778,ENSG00000167740
ENSMUSG00000092085,
ENSMUSG00000038208,ENSG00000161395
ENSMUSG00000111631,
ENSMUSG00000096160,
ENSMUSG00000032207,ENSG00000166035
ENSMUSG00000017167,ENSG00000108797
ENSMUSG00000035785,ENSG00000140932
ENSMUSG00000109045,
ENSMUSG00000030655,ENSG00000157106
ENSMUSG00000109421,
ENSMUSG00000110600,
ENSMUSG00000032504,ENSG00000170248
ENSMUSG00000051008,
ENSMUSG00000048965,ENSG00000184350
ENSMUSG00000038722,ENSG00000106245
ENSMUSG00000020538,ENSG00000072310
ENSMUSG00000035172,ENSG00000068137
ENSMUSG00000111939,
ENSMUSG00000112392,
ENSMUSG00000111896,
ENSMUSG00000047459,ENSG00000125971
ENSMUSG00000053613,
ENSMUSG00000025141,ENSG00000185105
ENSMUSG00000029624,ENSG00000106246
ENSMUSG00000029624,ENSG00000248919
ENSMUSG00000084822,
ENSMUSG00000047797,ENSG00000169562
ENSMUSG00000042988,ENSG00000185269
ENSMUSG00000044052,ENSG00000184451
ENSMUSG00000111175,
ENSMUSG00000111304,
ENSMUSG00000111109,
ENSMUSG00000019907,ENSG00000058272
ENSMUSG00000113940,
ENSMUSG00000031090,ENSG00000172890
ENSMUSG00000082629,
ENSMUSG00000061387,ENSG00000172772
ENSMUSG00000081544,
ENSMUSG00000051156,ENSG00000180475
ENSMUSG00000110997,
ENSMUSG00000043987,ENSG00000110274
ENSMUSG00000062115,ENSG00000108557
ENSMUSG00000007107,ENSG00000132681
ENSMUSG00000021250,ENSG00000170345
ENSMUSG00000112003,
ENSMUSG00000111903,
ENSMUSG00000083487,
ENSMUSG00000111618,
ENSMUSG00000032204,ENSG00000103569
ENSMUSG00000109904,
ENSMUSG00000103617,
ENSMUSG00000066232,ENSG00000205339
ENSMUSG00000081253,
ENSMUSG00000109368,ENSG00000214897
ENSMUSG00000109368,ENSG00000225110
ENSMUSG00000032127,ENSG00000160695
ENSMUSG00000031016,ENSG00000166483
ENSMUSG00000101585,
ENSMUSG00000031993,ENSG00000120451
ENSMUSG00000061079,ENSG00000166478
ENSMUSG00000111429,
ENSMUSG00000081831,
ENSMUSG00000013584,ENSG00000128918
ENSMUSG00000031365,ENSG00000063587
ENSMUSG00000028909,ENSG00000060656
ENSMUSG00000002580,ENSG00000141741
ENSMUSG00000111181,
ENSMUSG00000034032,ENSG00000103932
ENSMUSG00000096966,ENSG00000214897
ENSMUSG00000096966,ENSG00000225110
ENSMUSG00000084835,
ENSMUSG00000062312,ENSG00000141736
ENSMUSG00000073867,
ENSMUSG00000103141,
ENSMUSG00000097110,
ENSMUSG00000031374,ENSG00000189420
ENSMUSG00000111260,
ENSMUSG00000031875,ENSG00000140931
ENSMUSG00000033392,ENSG00000163539
ENSMUSG00000027602,ENSG00000101460
ENSMUSG00000032199,ENSG00000255529
ENSMUSG00000031144,ENSG00000102003
ENSMUSG00000041361,ENSG00000137878
ENSMUSG00000087644,
ENSMUSG00000092137,ENSG00000137878
ENSMUSG00000025337,ENSG00000126524
ENSMUSG00000038383,ENSG00000101464
ENSMUSG00000097451,
ENSMUSG00000028940,ENSG00000069812
ENSMUSG00000109527,
ENSMUSG00000058454,ENSG00000172893
ENSMUSG00000031917,ENSG00000132603
ENSMUSG00000085327,
ENSMUSG00000098061,
ENSMUSG00000055053,ENSG00000141905
ENSMUSG00000081652,
ENSMUSG00000111438,
ENSMUSG00000082134,
ENSMUSG00000083671,
ENSMUSG00000081012,
ENSMUSG00000111413,
ENSMUSG00000083466,
ENSMUSG00000111867,
ENSMUSG00000111249,
ENSMUSG00000038375,ENSG00000078804
ENSMUSG00000025142,ENSG00000169696
ENSMUSG00000060467,
ENSMUSG00000111088,
ENSMUSG00000007097,ENSG00000018625
ENSMUSG00000019312,ENSG00000141738
ENSMUSG00000034471,ENSG00000177303
ENSMUSG00000038034,ENSG00000162729
ENSMUSG00000075463,
ENSMUSG00000085423,
ENSMUSG00000041594,ENSG00000125247
ENSMUSG00000020747,ENSG00000177728
ENSMUSG00000038663,ENSG00000186628
ENSMUSG00000031372,ENSG00000183479
ENSMUSG00000033453,ENSG00000166106
ENSMUSG00000041650,ENSG00000175198
ENSMUSG00000080237,
ENSMUSG00000038369,ENSG00000198646
ENSMUSG00000020166,ENSG00000111596
ENSMUSG00000031849,ENSG00000105664
ENSMUSG00000041625,ENSG00000134864
ENSMUSG00000090758,
ENSMUSG00000109520,ENSG00000172772
ENSMUSG00000111815,
ENSMUSG00000052291,
ENSMUSG00000100981,
ENSMUSG00000100551,
ENSMUSG00000112881,
ENSMUSG00000040621,ENSG00000046647
ENSMUSG00000114163,
ENSMUSG00000086264,
ENSMUSG00000100357,
ENSMUSG00000020513,ENSG00000108423
ENSMUSG00000084080,
ENSMUSG00000050865,ENSG00000180475
ENSMUSG00000110486,
ENSMUSG00000096188,ENSG00000183723
ENSMUSG00000113165,
ENSMUSG00000034271,ENSG00000140044
ENSMUSG00000031310,ENSG00000147130
ENSMUSG00000032232,ENSG00000128849
ENSMUSG00000031371,ENSG00000213397
ENSMUSG00000031919,ENSG00000157315
ENSMUSG00000031919,ENSG00000259900
ENSMUSG00000034194,ENSG00000104679
ENSMUSG00000047207,ENSG00000180475
ENSMUSG00000099220,
ENSMUSG00000104467,
ENSMUSG00000025144,ENSG00000169689
ENSMUSG00000085724,
ENSMUSG00000031994,ENSG00000134917
ENSMUSG00000028937,ENSG00000097021
ENSMUSG00000047412,ENSG00000196323
ENSMUSG00000111673,
ENSMUSG00000031342,ENSG00000046653
ENSMUSG00000031085,
ENSMUSG00000025145,ENSG00000169683
ENSMUSG00000048356,ENSG00000197887
ENSMUSG00000048356,ENSG00000280204
ENSMUSG00000032507,ENSG00000153558
ENSMUSG00000044040,ENSG00000186513
ENSMUSG00000109530,
ENSMUSG00000029625,ENSG00000160917
ENSMUSG00000113249,
ENSMUSG00000018168,ENSG00000161405
ENSMUSG00000083341,
ENSMUSG00000018012,ENSG00000169750
ENSMUSG00000111793,
ENSMUSG00000009741,ENSG00000153560
ENSMUSG00000055670,ENSG00000074755
ENSMUSG00000026483,ENSG00000135842
ENSMUSG00000039450,ENSG00000169738
ENSMUSG00000090305,
ENSMUSG00000086596,ENSG00000173705
ENSMUSG00000017195,ENSG00000186075
ENSMUSG00000111734,
ENSMUSG00000042323,ENSG00000163939
ENSMUSG00000031921,ENSG00000132604
ENSMUSG00000084329,
ENSMUSG00000025150,
ENSMUSG00000064299,
ENSMUSG00000045395,ENSG00000172377
ENSMUSG00000027333,ENSG00000088826
ENSMUSG00000053820,ENSG00000140379
ENSMUSG00000034266,ENSG00000156127
ENSMUSG00000078249,ENSG00000137309
ENSMUSG00000083618,
ENSMUSG00000074039,
ENSMUSG00000017264,ENSG00000171824
ENSMUSG00000032431,ENSG00000170275
ENSMUSG00000025158,ENSG00000169733
ENSMUSG00000029674,ENSG00000106683
ENSMUSG00000086529,
ENSMUSG00000085317,
ENSMUSG00000027603,ENSG00000131067
ENSMUSG00000079260,ENSG00000188167
ENSMUSG00000025156,ENSG00000169727
ENSMUSG00000045594,ENSG00000170266
ENSMUSG00000082860,
ENSMUSG00000072573,
ENSMUSG00000027605,ENSG00000131069
ENSMUSG00000054526,ENSG00000186509
ENSMUSG00000047898,ENSG00000183813
ENSMUSG00000113464,
ENSMUSG00000042804,ENSG00000158292
ENSMUSG00000093624,
ENSMUSG00000027610,ENSG00000100983
ENSMUSG00000079259,ENSG00000206557
ENSMUSG00000057270,
ENSMUSG00000034258,ENSG00000119686
ENSMUSG00000087616,
ENSMUSG00000085010,
ENSMUSG00000093687,
ENSMUSG00000056858,ENSG00000172377
ENSMUSG00000028946,ENSG00000173673
ENSMUSG00000056167,ENSG00000182973
ENSMUSG00000020781,ENSG00000182173
ENSMUSG00000058078,
ENSMUSG00000102271,
ENSMUSG00000085745,
ENSMUSG00000055159,
ENSMUSG00000037541,ENSG00000162105
ENSMUSG00000059105,
ENSMUSG00000111744,
ENSMUSG00000031924,ENSG00000103018
ENSMUSG00000109500,
ENSMUSG00000100594,
ENSMUSG00000032435,ENSG00000144635
ENSMUSG00000040586,ENSG00000046651
ENSMUSG00000108980,
ENSMUSG00000038150,ENSG00000172057
ENSMUSG00000079317,ENSG00000196459
ENSMUSG00000079317,ENSG00000256060
ENSMUSG00000062314,ENSG00000172377
ENSMUSG00000086545,ENSG00000204913
