human,mouse
PRAMEF15,E330014E10Rik
PRAMEF15,Gm10436
PRAMEF15,AC123873.2
PRAMEF15,AC125178.2
PRAMEF15,AC163611.2
PRAMEF15,AC140325.1
PRAMEF15,Gm13088
PRAMEF15,Gm3259
PRAMEF15,Gm16429
PRAMEF15,Oog3
PRAMEF15,Pramel4
PRAMEF15,D5Ertd577e
PRAMEF15,Gm6509
PRAMEF15,Gm13101
PRAMEF15,Gm13043
PRAMEF15,Gm10424
PRAMEF15,Gm13102
PRAMEF15,Pramef17
PRAMEF15,AC165294.2
PRAMEF15,AC125178.1
PRAMEF15,Gm13125
PRAMEF15,Gm3147
PRAMEF15,Gm12794
PRAMEF15,Gm7942
PRAMEF15,Pramel6
PRAMEF15,Gm7982
PRAMEF15,Gm16427
PRAMEF15,AC140325.4
PRAMEF15,Oog1
PRAMEF15,AC124606.2
PRAMEF15,C87977
PRAMEF15,Gm6367
PRAMEF15,Gm6502
PRAMEF15,AC123873.3
PRAMEF15,Pramel5
PRAMEF15,Pramel1
PRAMEF15,Gm7971
PRAMEF15,Pramef8
PRAMEF15,Pramef6
PRAMEF15,AC124606.1
PRAMEF15,Gm3183
PRAMEF15,AC163611.1
PRAMEF15,Gm13103
PRAMEF15,Gm16367
PRAMEF15,AC125178.3
PRAMEF15,Gm3286
PRAMEF15,BC080695
PRAMEF15,Gm13057
PRAMEF15,B020004J07Rik
PRAMEF15,Gm13128
PRAMEF15,C130073F10Rik
PRAMEF15,Oog2
PRAMEF15,Gm6205
PRAMEF15,AC123873.1
PRAMEF15,Gm13023
PRAMEF15,Gm2042
PRAMEF15,Gm13084
PRAMEF15,Gm13078
PRAMEF15,Gm16513
PRAMEF15,AC165294.1
PRAMEF15,C87414
PRAMEF15,Gm6351
PRAMEF15,Gm7978
PRAMEF15,Gm13083
CAPN12,Capn12
GPR182,Gpr182
XYLT2,Xylt2
GUK1,Guk1
TCTN1,Tctn1
TMPRSS4,Tmprss4
BOP1,Bop1
SCX,Scx
TEX40,Tex40
YY2,Yy1
TNFRSF10A,Tnfrsf10b
CAV1,Cav1
PTPRH,Ptprh
SDR9C7,Sdr9c7
TM9SF4,Tm9sf4
OR6C75,Olfr790
C12orf29,4930430F08Rik
SYT5,Syt5
VARS,Vars
TMPRSS13,Tmprss13
TENM2,Tenm2
STK10,Stk10
CRYBB3,Crybb3
ACKR3,Ackr3
CDH12,Cdh12
OR6C74,Olfr821
OR10A7,Olfr1349
FXYD6,Fxyd6
OOSP2,Oosp2
RP11-371E8.4,Ubr7
PECR,Pecr
SPIDR,Spidr
ZHX2,Zhx2
SUSD3,Susd3
MGST1,Mgst1
IL2,Il2
EGR1,Egr1
PPTC7,Pptc7
CCDC181,Ccdc181
IRGM,Irgm1
IRGM,Igtp
IRGM,Irgm2
NFAM1,Nfam1
ITGB2,Itgb2l
ITGB2,Itgb2
RIF1,Rif1
RP9,Rp9
OR51F2,Olfr568
CACNA1F,Cacna1f
OR51T1,Olfr574
SLC6A8,Slc6a8
CNST,Cnst
COMT,Comt
TSPAN31,Tspan31
PAFAH1B2,Pafah1b2
OR52I2,Olfr556
GINS4,Gins4
SFT2D2,Sft2d2
WNT11,Wnt11
DENND4B,Dennd4b
HCK,Hck
TXNDC15,Txndc15
SMYD3,Smyd3
NMBR,Nmbr
OPRM1,Oprm1
CDK4,Cdk4
RTL1,Rtl1
SLC17A8,Slc17a8
SMNDC1,Smndc1
NT5C3A,Nt5c3
MAOB,Maob
SPACA7,Spaca7
CAV2,Cav2
GJE1,Gje1
COPG2,Copg2
OR9A2,Olfr459
GTPBP1,Gtpbp1
JMJD1C,Jmjd1c
AGAP2,Agap2
HNRNPCL1,Hnrnpc
LINC01314,Gm2115
SNORD74,Gm26224
RNU6-927P,Gm25805
PART1_2,Gm27572
RNA5SP60,Gm22385
RN7SKP121,Gm23007
RNU5E-9P,Rnu5g
RNU2-40P,Gm25783
RNU2-40P,Gm26105
SNORD116-2,Gm26097
SNORD116-2,Gm23265
SNORD116-2,Gm24711
SNORD116-2,Gm25155
SNORD116-2,Snord116l1
SNORD116-2,Gm25074
SNORD116-2,Snord116l6
SNORD116-2,Gm22584
SNORD116-2,Gm25615
SNORD116-2,Gm22417
SNORD116-2,Snord116l17
SNORD116-2,Gm25350
SNORD116-2,Snord116l11
SNORD116-2,Snord116l3
SNORD116-2,Gm22128
SNORD116-2,Gm25944
SNORD116-2,Gm22047
SNORD116-2,Gm22941
SNORD116-2,Snord116l2
SNORD116-2,Gm24153
SNORD116-2,Snord116l9
SNORD116-2,Gm26246
SNORD116-2,Gm23767
SNORD116-2,Gm22631
SNORD116-2,Snord116l15
SNORD116-2,Gm23047
SNORD116-2,Gm23862
SNORD116-2,Gm26504
SNORD116-2,Gm25471
SNORD116-2,Gm23619
SNORD116-2,Gm23953
SNORD116-2,Gm24609
SNORD116-2,Gm22046
SNORD116-2,Gm25816
SNORD116-2,Gm22812
SNORD116-2,Gm24518
SNORD116-2,Snord116l7
SNORD116-2,Gm22258
SNORD116-2,Snord116l16
SNORD116-2,Gm22131
SNORD116-2,Gm24760
SNORD116-2,Snord116l14
SNORD116-2,Snord116l12
SNORD116-2,Snord116l4
SNORD116-2,Snord116l8
SNORD116-2,Gm23141
SNORD116-2,Gm22776
SNORD116-2,Gm26433
SNORD116-2,Gm22285
SNORD116-2,Gm26032
SNORD116-2,Gm24264
SNORD116-2,Gm26502
SNORD116-2,Gm25210
SNORD116-2,Snord116l13
SNORD116-2,Gm22863
SNORD116-2,Gm25474
SNORD116-2,Gm23446
SNORD116-2,Gm22851
SNORD116-2,Gm25597
SNORD116-2,Gm26188
SNORD116-2,Gm26270
SNORD116-2,Snord116l5
SNORD116-2,Gm26201
SNORD116-2,Gm25157
SNORD116-2,Snord116l10
SNORD116-2,Gm26332
SNORD116-2,Gm26365
SNORD116-2,Gm24618
SNORD116-2,Gm23089
SNORD116-2,Gm23313
RNU1-84P,Gm23540
RNU1-84P,Gm24624
SNORA72,Gm24061
RNA5SP489,Gm23740
RNA5SP158,Gm25659
RNA5SP170,Gm22094
U7,Gm22203
RNA5SP392,n-R5s96
RNU6-654P,Gm24612
SMAD5-AS1_2,Gm27301
RNU6-1122P,Gm23515
SNORA71C,Gm24031
SNORA71C,Gm24163
SNORA71C,Gm25402
SNORA71C,Gm25853
SNORA71C,Gm25592
SNORA71C,Gm24411
SNORA71C,Gm24258
SNORA71C,Gm23893
SNORD2,Snord2
RNU6-635P,Gm23500
U3,Gm24826
U3,Gm23927
U3,Gm24949
U3,Rnu3b4
U3,Rnu3b3
U3,Gm22865
U3,Rnu3b2
U3,Gm25203
U3,Rnu3b1
U3,Gm25419
RN7SKP86,Gm25580
RNU6-358P,Gm23241
RNU6-358P,Gm23847
SNORA70,Gm26277
SCARNA4,Gm26413
SCARNA4,Gm22897
SCARNA4,Gm25820
SCARNA4,Gm23370
SCARNA4,Gm22813
RNU1-133P,Gm24032
SNORD101,Gm23130
SNORA75,Gm22338
RNU6-1144P,Gm22148
RNA5SP511,n-R5s97
RNA5SP511,n-R5s188
RNU6-1149P,Gm25599
SNORA2,Gm22704
SNORA2,Gm24406
RNU6-725P,Gm23302
RN7SKP132,Gm22987
RN7SKP132,Gm22514
VIS1,Vis1
RNU6-707P,Gm22084
RNU6-707P,Gm25889
RN7SKP99,Gm22075
SNORD114-14,Gm23787
RNU6-958P,Gm24917
RNU6-958P,Gm23792
RNU6-712P,Gm25269
RNU6-712P,Gm25819
RNU6-798P,Gm25886
Metazoa_SRP,Gm22876
RNU1-45P,Gm25440
SNORA2B,Gm22299
RN7SKP137,Gm23888
RNU6-1304P,Gm24962
SNORD23,Gm23839
RN7SL503P,Gm27853
RNA5SP487,n-R5s42
RNA5SP487,n-R5s12
RNVU1-15,Gm22042
RNVU1-15,Gm24136
RNVU1-15,Rnu1b6
RNVU1-15,Gm24405
RNVU1-15,Rnu1b1
RNVU1-15,Rnu1b2
RNVU1-15,Gm22614
RNVU1-15,Gm25890
RNVU1-15,Gm26110
RNVU1-15,Gm24830
RNVU1-15,Gm26232
RN7SKP196,Gm22075
SNORD48,Gm25744
SNORA78,Snora78
RNU6-231P,Gm26257
RNU6-703P,Gm22528
RNU6ATAC9P,Gm23336
SNORA70,Gm24000
RNY3P11,Rny3
RN7SL738P,Gm27853
RNU6-147P,Gm26017
RNU6-1020P,Gm23573
SNORA51,Gm24454
RNU6-190P,Gm24304
SNORA19,Gm24625
RNU6-1186P,Gm24399
RN7SKP200,Gm25580
SNORD15A,Snord15a
SNORA10,Gm26418
SCARNA4,Gm26039
SCARNA4,Gm25825
SCARNA4,Gm25058
RNU6-1067P,Gm25798
RNU6-1067P,Gm23614
RN7SL799P,Gm27853
uc_338,Gm27348
RNU2-2P,Gm25813
RNU6-840P,Gm22943
RNU6-694P,Gm25644
SNORA11E,Gm24595
RNU6-144P,Gm22308
RN7SKP47,Gm26315
RNU6-351P,Gm24277
RNA5SP34,n-R5s74
RNU6-989P,Gm25657
RNU6ATAC22P,Gm22105
RNU6ATAC22P,Gm25338
RNU6ATAC22P,Gm24833
HOTAIRM1_5,Gm27477
RNU2-36P,Gm22984
RNA5SP132,Gm24971
RNA5SP80,Gm27781
SNORA25,Gm23584
SNORA25,Gm23353
U6,Gm22597
U6,Gm23244
CDKN2B-AS,Gm27580
RNA5SP437,Gm24971
RNU6-1235P,Gm24735
RN7SL215P,Gm27853
RNU6-70P,Gm24917
RNU6-70P,Gm23792
SNORD99,Snord99
RNU1-105P,Gm25587
SNORD113-4,Gm23474
SNORD58B,Gm22354
SNORD58B,Snord58b
RN7SKP257,Gm25844
SNORA23,Snora23
RNA5SP229,Gm25329
SNORA26,Gm23593
SNORD50,Gm24463
SNORD50,Snord50a
SNORD50,Gm23017
SNORD50,Snord50b
SNORD50,Gm26135
SNORA16A,Snora16a
RNU6-582P,Gm24461
RNU6ATAC34P,Gm22105
RNU6ATAC34P,Gm25338
RNU6ATAC34P,Gm24833
RNU2-71P,Gm23517
SNORA11D,Gm24595
RN7SKP158,Gm23777
RNA5SP105,Gm23740
RNU6-709P,Gm25225
RNU6-1068P,Gm24207
RNU6-1068P,Gm23191
RNU6-699P,Gm22108
RNU6-699P,Gm24584
RNU6-699P,Gm24798
RN7SKP169,Gm22895
SNORD111B,Gm22193
NEAT1_2,Gm27505
RNU6-1042P,Gm25552
RN7SKP154,Gm23046
ZNRD1-AS1_2,Gm27735
ZNRD1-AS1_2,Gm27263
RNA5SP96,Gm23668
VTRNA1-3,Vaultrc5
RMST_9,Gm27999
Metazoa_SRP,Gm22906
Metazoa_SRP,Gm27651
Metazoa_SRP,Gm23563
Metazoa_SRP,Gm25735
Metazoa_SRP,Gm27896
Metazoa_SRP,Gm22993
Metazoa_SRP,Gm25072
Metazoa_SRP,Gm27316
Metazoa_SRP,Gm22662
Metazoa_SRP,Gm24809
Metazoa_SRP,Gm27826
Metazoa_SRP,Gm24576
Metazoa_SRP,Gm27956
Metazoa_SRP,Gm25574
Metazoa_SRP,Gm27854
Metazoa_SRP,Gm22642
RNA5SP359,n-R5s88
RNU6-583P,Gm23445
RNU6-723P,Gm22302
SNORA19,Gm23658
SNORA19,Snora19
RMST_10,Gm27544
HOTAIR_2,Gm27337
Y_RNA,Gm26168
RNA5SP366,n-R5s167
RNA5SP366,n-R5s166
RNU6-1005P,Gm23041
RNU6-1048P,Gm26000
RN7SKP246,Gm24447
SNORA63,Gm25852
RNU7-103P,Gm26087
RNU4-71P,Gm25176
ST6GALNAC5,St6galnac5
SLC52A3,Slc52a3
SIRT2,Sirt2
COX8A,Cox8a
DOC2B,Doc2b
RANBP17,Ranbp17
ZNF277,Zfp277
NAA40,Naa40
C1orf198,2310022B05Rik
TMEM100,Tmem100
AGT,Agt
SERAC1,Serac1
HUS1B,Hus1b
FAT2,Fat2
ZNF148,Zfp148
GOT2,Got2
KCNIP1,Kcnip1
KCNS2,Kcns2
GRM8,Grm8
CHST12,Chst12
USP30,Usp30
LCP2,Lcp2
RNF5,Rnf5
TM7SF3,Tm7sf3
ACTA1,Acta1
GABRG2,Gabrg2
BARX2,Barx2
KLC2,Klc2
TRMU,Trmu
ARMC10,Armc10
TIRAP,Tirap
B3GALNT2,B3galnt2
DDX42,Ddx42
AKR1B10,Akr1b8
AKR1B10,Akr1b7
AKR1B10,Akr1b10
MCM7,Mcm7
CNPY4,Cnpy4
PACS1,Pacs1
CD34,Cd34
ZRSR1,Zrsr2
ZRSR1,Zrsr1
CDON,Cdon
FEN1,Fen1
CTC-487M23.8,Srp19
MRGPRF,Mrgprf
MRGPRD,Mrgprd
AKR1B1,Akr1b3
CPLX2,Cplx2
HYLS1,Hyls1
RBM44,Rbm44
PATE2,Pate2
NDUFB9,Ndufb9
CEP95,Cep95
RASSF8,Rassf8
SMURF2,Smurf2
KDM5B,Kdm5b
AOX1,Aox1
POM121C,Pom121
CHEK1,Chek1
SKIL,Skil
LRRC17,Lrrc17
ALDH2,Aldh2
HOXB8,Hoxb8
LRRC4C,Lrrc4c
CORO1C,Coro1c
TMEM65,Tmem65
PREX2,Prex2
SAC3D1,Sac3d1
GIT2,Git2
SLC22A3,Slc22a3
FAM185A,Fam185a
SLC37A2,Slc37a2
EPB41L4A,Epb41l4a
FAM19A2,Fam19a2
CCDC15,Ccdc15
TMEM67,Tmem67
SF3B2,Sf3b2
PRKCI,Prkci
CNIH3,Cnih3
COQ8A,Coq8a
PSMG3,Psmg3
PANX3,Panx3
OR8A1,Olfr160
OR8A1,Olfr151
PECAM1,Pecam1
OR8D1,Olfr933
OR8D1,Olfr26
OR8D1,Olfr930
ISCU,Iscu
MTERF4,Mterf4
FNDC9,Fndc9
RAB9B,Rab9b
CPT1A,Cpt1a
ZSCAN21,Zscan21
CHCHD3,Chchd3
HEATR6,Heatr6
TAB1,Tab1
FBXO47,Fbxo47
OR2AK2,Olfr316
OR2AK2,Olfr320
OR2AK2,Olfr318
OR2AK2,Olfr319
FAM181B,Fam181b
SLAMF1,Slamf1
TEX35,Tex35
C14orf2,2010107E04Rik
FEZF1,Fezf1
TANGO2,Tango2
MYBPC1,Mybpc1
TECTA,Tecta
CTAGE4,Mia2
LRRC14,Lrrc14
FAM181A,Fam181a
FAM92A,Fam92a
EVI5,Evi5
RNF10,Rnf10
ARHGEF12,Arhgef12
TRIM44,Trim44
STARD4,Stard4
CD84,Cd84
FZD3,Fzd3
ACOT9,Acot10
ACOT9,Acot9
CEACAM4,Ceacam9
CEACAM4,Ceacam15
WASHC4,Washc4
SPATA20,Spata20
UBR5,Ubr5
NARS2,Nars2
MAFK,Mafk
SNX2,Snx2
NREP,Nrep
TMEM184A,Tmem184a
TMEM184A,Gm26938
LTBP3,Ltbp3
RBM12B,Rbm12b1
RBM12B,Rbm12b2
RPL3,Rpl3
LASP1,Lasp1
CEACAM7,Ceacam1
CEACAM7,Ceacam2
GAB2,Gab2
KIAA1683,Gm16486
CCNJL,Ccnjl
LDLRAD3,Ldlrad3
PLP1,Plp1
SLX4,Slx4
SDHAF2,Sdhaf2
FAM71B,Fam71b
GRIK4,Grik4
MCRIP1,Fam195b
EHD1,Ehd1
ITK,Itk
RP11-286N22.8,Sdhaf2
SPG7,Spg7
ASB2,Asb2
SNX11,Snx11
AKAP13,Akap13
PPP1R32,Ppp1r32
SUMO2,Sumo2
HAVCR2,Havcr2
TOM1L2,Tom1l2
JUND,Jund
HN1,Hn1
MED7,Med7
PPP1R27,Ppp1r27
C6orf58,2310057J18Rik
TBCEL,Tbcel
PLK4,Plk4
CPSF7,Cpsf7
OSGIN2,Osgin2
OR2A12,Olfr446
OR2A2,Olfr437
RNU6-1212P,Gm22675
RNU2-51P,Gm24623
Y_RNA,Gm24045
Y_RNA,Gm25586
Y_RNA,Gm23921
Y_RNA,Gm26456
Y_RNA,Gm24203
Y_RNA,Gm23466
Y_RNA,Gm25223
RNA5SP222,Gm26197
RNU6ATAC37P,Gm22105
RNU6ATAC37P,Gm25338
RNU6ATAC37P,Gm24833
RNA5SP168,Gm25488
SNORD7,Snord7
TUSC7,Gm27587
SNORA68,Gm22331
SNORA68,Gm22661
SNORA68,Gm23877
RNU1-96P,Gm22847
SCARNA8,Scarna8
RNU6-293P,Gm23865
RNU6-293P,Gm24552
RNU6-1308P,Gm23926
SNORD79,Mir5117
SNORD5,Gm24299
RNA5SP185,Gm26486
RNA5SP185,n-R5s216
RNU6-421P,Gm22228
RNU2-18P,Gm24666
RNU6-642P,Gm26279
RNU6-642P,Gm24374
RN7SL87P,Gm25687
RNU6-454P,Gm22989
RNU6-839P,Gm22069
HOXA11-AS1_3,Gm27695
RNU4-55P,Gm25104
AC136616.1,Slc6a8
RNU6-861P,Gm24480
RNY4P28,Gm24629
SNORD116-8,Gm26097
SNORD116-8,Gm23265
SNORD116-8,Gm24711
SNORD116-8,Gm25155
SNORD116-8,Snord116l1
SNORD116-8,Gm25074
SNORD116-8,Snord116l6
SNORD116-8,Gm22584
SNORD116-8,Gm25615
SNORD116-8,Gm22417
SNORD116-8,Snord116l17
SNORD116-8,Gm25350
SNORD116-8,Snord116l11
SNORD116-8,Snord116l3
SNORD116-8,Gm22128
SNORD116-8,Gm25944
SNORD116-8,Gm22047
SNORD116-8,Gm22941
SNORD116-8,Snord116l2
SNORD116-8,Gm24153
SNORD116-8,Snord116l9
SNORD116-8,Gm26246
SNORD116-8,Gm23767
SNORD116-8,Gm22631
SNORD116-8,Snord116l15
SNORD116-8,Gm23047
SNORD116-8,Gm23862
SNORD116-8,Gm26504
SNORD116-8,Gm25471
SNORD116-8,Gm23619
SNORD116-8,Gm23953
SNORD116-8,Gm24609
SNORD116-8,Gm22046
SNORD116-8,Gm25816
SNORD116-8,Gm22812
SNORD116-8,Gm24518
SNORD116-8,Snord116l7
SNORD116-8,Gm22258
SNORD116-8,Snord116l16
SNORD116-8,Gm22131
SNORD116-8,Gm24760
SNORD116-8,Snord116l14
SNORD116-8,Snord116l12
SNORD116-8,Snord116l4
SNORD116-8,Snord116l8
SNORD116-8,Gm23141
SNORD116-8,Gm22776
SNORD116-8,Gm26433
SNORD116-8,Gm22285
SNORD116-8,Gm26032
SNORD116-8,Gm24264
SNORD116-8,Gm26502
SNORD116-8,Gm25210
SNORD116-8,Snord116l13
SNORD116-8,Gm22863
SNORD116-8,Gm25474
SNORD116-8,Gm23446
SNORD116-8,Gm22851
SNORD116-8,Gm25597
