Ensembl ID	Entrez ID	Type
ENSMUSG00000020415	30939	Transcription_Cofactors	
ENSMUSG00000020455	94091	Transcription_Cofactors	
ENSMUSG00000020473	11568	Transcription_Cofactors	
ENSMUSG00000020542	214384	Transcription_Cofactors	
ENSMUSG00000020647	17977	Transcription_Cofactors	
ENSMUSG00000020719	13207	Transcription_Cofactors	
ENSMUSG00000020801	67279	Transcription_Cofactors	
ENSMUSG00000020962	83602	Transcription_Cofactors	
ENSMUSG00000021025	18035	Transcription_Cofactors	
ENSMUSG00000021039	66354	Transcription_Cofactors	
ENSMUSG00000021103	17420	Transcription_Cofactors	
ENSMUSG00000021188	109181	Transcription_Cofactors	
ENSMUSG00000021326	19720	Transcription_Cofactors	
ENSMUSG00000021363	17152	Transcription_Cofactors	
ENSMUSG00000021377	110052	Transcription_Cofactors	
ENSMUSG00000021476	56541	Transcription_Cofactors	
ENSMUSG00000021488	18193	Transcription_Cofactors	
ENSMUSG00000021496	72562	Transcription_Cofactors	
ENSMUSG00000021548	66671	Transcription_Cofactors	
ENSMUSG00000021598	28077	Transcription_Cofactors	
ENSMUSG00000021660	218490	Transcription_Cofactors	
ENSMUSG00000021690	57748	Transcription_Cofactors	
ENSMUSG00000021810	70601	Transcription_Cofactors	
ENSMUSG00000021908	\N	Transcription_Cofactors	
ENSMUSG00000021938	66645	Transcription_Cofactors	
ENSMUSG00000021945	76007	Transcription_Cofactors	
ENSMUSG00000022019	219249	Transcription_Cofactors	
ENSMUSG00000022096	15460	Transcription_Cofactors	
ENSMUSG00000022105	19645	Transcription_Cofactors	
ENSMUSG00000022109	67381	Transcription_Cofactors	
ENSMUSG00000022178	16475	Transcription_Cofactors	
ENSMUSG00000022221	56532	Transcription_Cofactors	
ENSMUSG00000022245	207667	Transcription_Cofactors	
ENSMUSG00000022255	67154	Transcription_Cofactors	
ENSMUSG00000022314	19357	Transcription_Cofactors	
ENSMUSG00000022338	223527	Transcription_Cofactors	
ENSMUSG00000022394	214669	Transcription_Cofactors	
ENSMUSG00000022471	14375	Transcription_Cofactors	
ENSMUSG00000022504	12265	Transcription_Cofactors	
ENSMUSG00000022521	12914	Transcription_Cofactors	
ENSMUSG00000022634	67057	Transcription_Cofactors	
ENSMUSG00000022672	19090	Transcription_Cofactors	
ENSMUSG00000022682	106298	Transcription_Cofactors	
ENSMUSG00000022702	15260	Transcription_Cofactors	
ENSMUSG00000022945	110749	Transcription_Cofactors	
ENSMUSG00000023055	67488	Transcription_Cofactors	
ENSMUSG00000023092	14199	Transcription_Cofactors	
ENSMUSG00000023170	56310	Transcription_Cofactors	
ENSMUSG00000023348	22051	Transcription_Cofactors	
ENSMUSG00000024052	64898	Transcription_Cofactors	
ENSMUSG00000024154	71828	Transcription_Cofactors	
ENSMUSG00000024218	68776	Transcription_Cofactors	
ENSMUSG00000024240	13831	Transcription_Cofactors	
ENSMUSG00000024260	269003	Transcription_Cofactors	
ENSMUSG00000024271	58523	Transcription_Cofactors	
ENSMUSG00000024325	19763	Transcription_Cofactors	
ENSMUSG00000024382	13872	Transcription_Cofactors	
ENSMUSG00000024498	56070	Transcription_Cofactors	
ENSMUSG00000024642	21888	Transcription_Cofactors	
ENSMUSG00000024803	107765	Transcription_Cofactors	
ENSMUSG00000024805	76073	Transcription_Cofactors	
ENSMUSG00000024914	66556	Transcription_Cofactors	
ENSMUSG00000024947	17283	Transcription_Cofactors	
ENSMUSG00000024949	22668	Transcription_Cofactors	
ENSMUSG00000025050	71041	Transcription_Cofactors	
ENSMUSG00000025151	94275	Transcription_Cofactors	
ENSMUSG00000025159	72199	Transcription_Cofactors	
ENSMUSG00000025223	16825	Transcription_Cofactors	
ENSMUSG00000025231	24069	Transcription_Cofactors	
ENSMUSG00000025239	29806	Transcription_Cofactors	
ENSMUSG00000025246	21372	Transcription_Cofactors	
ENSMUSG00000025316	53325	Transcription_Cofactors	
ENSMUSG00000025326	22215	Transcription_Cofactors	
ENSMUSG00000025358	12566	Transcription_Cofactors	
ENSMUSG00000025364	18813	Transcription_Cofactors	
ENSMUSG00000025402	17937	Transcription_Cofactors	
ENSMUSG00000025616	74112	Transcription_Cofactors	
ENSMUSG00000025878	20184	Transcription_Cofactors	
ENSMUSG00000025917	26754	Transcription_Cofactors	
ENSMUSG00000025932	14048	Transcription_Cofactors	
ENSMUSG00000026037	18393	Transcription_Cofactors	
ENSMUSG00000026484	19821	Transcription_Cofactors	
ENSMUSG00000026536	381308	Transcription_Cofactors	
ENSMUSG00000026563	27878	Transcription_Cofactors	
ENSMUSG00000026605	108000	Transcription_Cofactors	
ENSMUSG00000026739	12151	Transcription_Cofactors	
ENSMUSG00000026799	68975	Transcription_Cofactors	
ENSMUSG00000026842	11350	Transcription_Cofactors	
ENSMUSG00000027164	22034	Transcription_Cofactors	
ENSMUSG00000027177	15259	Transcription_Cofactors	
ENSMUSG00000027206	12848	Transcription_Cofactors	
ENSMUSG00000027223	19099	Transcription_Cofactors	
ENSMUSG00000027427	70408	Transcription_Cofactors	
ENSMUSG00000027478	13436	Transcription_Cofactors	
ENSMUSG00000027580	229003	Transcription_Cofactors	
ENSMUSG00000027620	170791	Transcription_Cofactors	
ENSMUSG00000027630	81004	Transcription_Cofactors	
ENSMUSG00000027641	19650	Transcription_Cofactors	
ENSMUSG00000027660	20482	Transcription_Cofactors	
ENSMUSG00000027671	56456	Transcription_Cofactors	
ENSMUSG00000027678	17979	Transcription_Cofactors	
ENSMUSG00000027715	12428	Transcription_Cofactors	
ENSMUSG00000027803	97064	Transcription_Cofactors	
ENSMUSG00000027905	53975	Transcription_Cofactors	
ENSMUSG00000027998	53317	Transcription_Cofactors	
ENSMUSG00000028066	67037	Transcription_Cofactors	
ENSMUSG00000028099	74414	Transcription_Cofactors	
ENSMUSG00000028191	12042	Transcription_Cofactors	
ENSMUSG00000028233	116940	Transcription_Cofactors	
ENSMUSG00000028252	51813	Transcription_Cofactors	
ENSMUSG00000028259	57756	Transcription_Cofactors	
ENSMUSG00000028431	230233	Transcription_Cofactors	
ENSMUSG00000028484	101739	Transcription_Cofactors	
ENSMUSG00000028549	67733	Transcription_Cofactors	
ENSMUSG00000028675	52830	Transcription_Cofactors	
ENSMUSG00000028840	68040	Transcription_Cofactors	
ENSMUSG00000028975	56273	Transcription_Cofactors	
ENSMUSG00000029004	69188	Transcription_Cofactors	
ENSMUSG00000029050	20481	Transcription_Cofactors	
ENSMUSG00000029110	19822	Transcription_Cofactors	
ENSMUSG00000029167	19017	Transcription_Cofactors	
ENSMUSG00000029191	19687	Transcription_Cofactors	
ENSMUSG00000029203	53323	Transcription_Cofactors	
ENSMUSG00000029265	13486	Transcription_Cofactors	
ENSMUSG00000029430	19384	Transcription_Cofactors	
ENSMUSG00000029440	67151	Transcription_Cofactors	
ENSMUSG00000029599	71990	Transcription_Cofactors	
ENSMUSG00000029603	14357	Transcription_Cofactors	
ENSMUSG00000029634	74132	Transcription_Cofactors	
ENSMUSG00000029635	264064	Transcription_Cofactors	
ENSMUSG00000029712	83766	Transcription_Cofactors	
ENSMUSG00000029833	21848	Transcription_Cofactors	
ENSMUSG00000030213	54343	Transcription_Cofactors	
ENSMUSG00000030291	108098	Transcription_Cofactors	
ENSMUSG00000030315	232334	Transcription_Cofactors	
ENSMUSG00000030400	13871	Transcription_Cofactors	
ENSMUSG00000030421	19777	Transcription_Cofactors	
ENSMUSG00000030528	12144	Transcription_Cofactors	
ENSMUSG00000030595	18036	Transcription_Cofactors	
ENSMUSG00000030782	21804	Transcription_Cofactors	
ENSMUSG00000030788	67150	Transcription_Cofactors	
ENSMUSG00000030905	12971	Transcription_Cofactors	
ENSMUSG00000030970	13017	Transcription_Cofactors	
ENSMUSG00000031131	170828	Transcription_Cofactors	
ENSMUSG00000031157	54633	Transcription_Cofactors	
ENSMUSG00000031311	53610	Transcription_Cofactors	
ENSMUSG00000031328	192176	Transcription_Cofactors	
ENSMUSG00000031353	245688	Transcription_Cofactors	
ENSMUSG00000031379	69656	Transcription_Cofactors	
ENSMUSG00000031386	15161	Transcription_Cofactors	
ENSMUSG00000031487	66653	Transcription_Cofactors	
ENSMUSG00000031586	19663	Transcription_Cofactors	
ENSMUSG00000031622	20467	Transcription_Cofactors	
ENSMUSG00000031666	19651	Transcription_Cofactors	
ENSMUSG00000031776	107566	Transcription_Cofactors	
ENSMUSG00000031832	21341	Transcription_Cofactors	
ENSMUSG00000031839	68196	Transcription_Cofactors	
ENSMUSG00000031935	234959	Transcription_Cofactors	
ENSMUSG00000031939	75316	Transcription_Cofactors	
ENSMUSG00000032013	72169	Transcription_Cofactors	
ENSMUSG00000032053	18985	Transcription_Cofactors	
ENSMUSG00000032094	12500	Transcription_Cofactors	
ENSMUSG00000032217	93836	Transcription_Cofactors	
ENSMUSG00000032386	56404	Transcription_Cofactors	
ENSMUSG00000032536	67095	Transcription_Cofactors	
ENSMUSG00000032715	228775	Transcription_Cofactors	
ENSMUSG00000032717	17240	Transcription_Cofactors	
ENSMUSG00000033054	244879	Transcription_Cofactors	
ENSMUSG00000033222	74044	Transcription_Cofactors	
ENSMUSG00000033543	235459	Transcription_Cofactors	
ENSMUSG00000033565	93686	Transcription_Cofactors	
ENSMUSG00000033623	69587	Transcription_Cofactors	
ENSMUSG00000033813	21399	Transcription_Cofactors	
ENSMUSG00000033871	170826	Transcription_Cofactors	
ENSMUSG00000033933	22346	Transcription_Cofactors	
ENSMUSG00000034120	20382	Transcription_Cofactors	
ENSMUSG00000034205	94352	Transcription_Cofactors	
ENSMUSG00000034297	327987	Transcription_Cofactors	
ENSMUSG00000034329	237911	Transcription_Cofactors	
ENSMUSG00000034342	12402	Transcription_Cofactors	
ENSMUSG00000034771	21886	Transcription_Cofactors	
ENSMUSG00000034813	74053	Transcription_Cofactors	
ENSMUSG00000035236	320271	Transcription_Cofactors	
ENSMUSG00000035310	231506	Transcription_Cofactors	
ENSMUSG00000035356	80859	Transcription_Cofactors	
ENSMUSG00000035632	232791	Transcription_Cofactors	
ENSMUSG00000035873	114774	Transcription_Cofactors	
ENSMUSG00000035958	56196	Transcription_Cofactors	
ENSMUSG00000035960	11792	Transcription_Cofactors	
ENSMUSG00000036111	109594	Transcription_Cofactors	
ENSMUSG00000036225	106931	Transcription_Cofactors	
ENSMUSG00000036306	211134	Transcription_Cofactors	
ENSMUSG00000036376	30946	Transcription_Cofactors	
ENSMUSG00000036432	20439	Transcription_Cofactors	
ENSMUSG00000036478	12226	Transcription_Cofactors	
ENSMUSG00000036550	234594	Transcription_Cofactors	
ENSMUSG00000036615	170767	Transcription_Cofactors	
ENSMUSG00000036698	239528	Transcription_Cofactors	
ENSMUSG00000036822	106021	Transcription_Cofactors	
ENSMUSG00000036856	22417	Transcription_Cofactors	
ENSMUSG00000036980	21343	Transcription_Cofactors	
ENSMUSG00000036986	18854	Transcription_Cofactors	
ENSMUSG00000037032	11785	Transcription_Cofactors	
ENSMUSG00000037111	73251	Transcription_Cofactors	
ENSMUSG00000037373	13016	Transcription_Cofactors	
ENSMUSG00000037573	22057	Transcription_Cofactors	
ENSMUSG00000037791	268448	Transcription_Cofactors	
ENSMUSG00000038025	18676	Transcription_Cofactors	
ENSMUSG00000038393	56338	Transcription_Cofactors	
ENSMUSG00000038437	246198	Transcription_Cofactors	
ENSMUSG00000038533	12396	Transcription_Cofactors	
ENSMUSG00000038622	69790	Transcription_Cofactors	
ENSMUSG00000038697	102162	Transcription_Cofactors	
ENSMUSG00000038954	109115	Transcription_Cofactors	
ENSMUSG00000039117	228980	Transcription_Cofactors	
ENSMUSG00000039697	211329	Transcription_Cofactors	
ENSMUSG00000039745	53415	Transcription_Cofactors	
ENSMUSG00000039910	17684	Transcription_Cofactors	
ENSMUSG00000040128	108767	Transcription_Cofactors	
ENSMUSG00000040363	71458	Transcription_Cofactors	
ENSMUSG00000040374	19302	Transcription_Cofactors	
ENSMUSG00000040390	269881	Transcription_Cofactors	
ENSMUSG00000040463	18432	Transcription_Cofactors	
ENSMUSG00000040481	207165	Transcription_Cofactors	
ENSMUSG00000040565	107182	Transcription_Cofactors	
ENSMUSG00000040713	433375	Transcription_Cofactors	
ENSMUSG00000040734	333654	Transcription_Cofactors	
ENSMUSG00000040761	56381	Transcription_Cofactors	
ENSMUSG00000041058	107568	Transcription_Cofactors	
ENSMUSG00000041147	12190	Transcription_Cofactors	
ENSMUSG00000041235	320790	Transcription_Cofactors	
ENSMUSG00000041238	225182	Transcription_Cofactors	
ENSMUSG00000041740	50849	Transcription_Cofactors	
ENSMUSG00000041777	66935	Transcription_Cofactors	
ENSMUSG00000041852	21411	Transcription_Cofactors	
ENSMUSG00000042292	223701	Transcription_Cofactors	
ENSMUSG00000042506	216825	Transcription_Cofactors	
ENSMUSG00000042548	228790	Transcription_Cofactors	
ENSMUSG00000042557	20466	Transcription_Cofactors	
ENSMUSG00000042613	229534	Transcription_Cofactors	
ENSMUSG00000042625	224902	Transcription_Cofactors	
ENSMUSG00000042895	223513	Transcription_Cofactors	
ENSMUSG00000043858	18226	Transcription_Cofactors	
ENSMUSG00000043962	230753	Transcription_Cofactors	
ENSMUSG00000045248	70625	Transcription_Cofactors	
ENSMUSG00000045730	11555	Transcription_Cofactors	
ENSMUSG00000045763	70350	Transcription_Cofactors	
ENSMUSG00000046058	386655	Transcription_Cofactors	
ENSMUSG00000046229	19018	Transcription_Cofactors	
ENSMUSG00000047242	407786	Transcription_Cofactors	
ENSMUSG00000047751	22286	Transcription_Cofactors	
ENSMUSG00000047821	94092	Transcription_Cofactors	
ENSMUSG00000048490	268903	Transcription_Cofactors	
ENSMUSG00000048806	15977	Transcription_Cofactors	
ENSMUSG00000049641	215031	Transcription_Cofactors	
ENSMUSG00000049658	544971	Transcription_Cofactors	
ENSMUSG00000049800	58172	Transcription_Cofactors	
ENSMUSG00000050213	76793	Transcription_Cofactors	
ENSMUSG00000050377	218624	Transcription_Cofactors	
ENSMUSG00000050567	103806	Transcription_Cofactors	
ENSMUSG00000051159	12705	Transcription_Cofactors	
ENSMUSG00000051675	69807	Transcription_Cofactors	
ENSMUSG00000052406	227656	Transcription_Cofactors	
ENSMUSG00000053110	22601	Transcription_Cofactors	
ENSMUSG00000053134	72195	Transcription_Cofactors	
ENSMUSG00000053175	12051	Transcription_Cofactors	
ENSMUSG00000053483	30941	Transcription_Cofactors	
ENSMUSG00000054321	72504	Transcription_Cofactors	
ENSMUSG00000055024	328572	Transcription_Cofactors	
ENSMUSG00000055027	12180	Transcription_Cofactors	
ENSMUSG00000055044	54132	Transcription_Cofactors	
ENSMUSG00000055065	67040	Transcription_Cofactors	
ENSMUSG00000055491	226169	Transcription_Cofactors	
ENSMUSG00000056537	19820	Transcription_Cofactors	
ENSMUSG00000056608	109151	Transcription_Cofactors	
ENSMUSG00000056770	52690	Transcription_Cofactors	
ENSMUSG00000057113	18148	Transcription_Cofactors	
ENSMUSG00000057367	11797	Transcription_Cofactors	
ENSMUSG00000057534	217066	Transcription_Cofactors	
ENSMUSG00000057604	30937	Transcription_Cofactors	
ENSMUSG00000058230	232906	Transcription_Cofactors	
ENSMUSG00000059323	72749	Transcription_Cofactors	
ENSMUSG00000059540	21400	Transcription_Cofactors	
ENSMUSG00000059995	217218	Transcription_Cofactors	
ENSMUSG00000060450	56736	Transcription_Cofactors	
ENSMUSG00000060534	13176	Transcription_Cofactors	
ENSMUSG00000061143	433586	Transcription_Cofactors	
ENSMUSG00000061315	17938	Transcription_Cofactors	
ENSMUSG00000061360	68479	Transcription_Cofactors	
ENSMUSG00000061436	15258	Transcription_Cofactors	
ENSMUSG00000061887	72475	Transcription_Cofactors	
ENSMUSG00000062209	13869	Transcription_Cofactors	
ENSMUSG00000062224	71090	Transcription_Cofactors	
ENSMUSG00000062312	13866	Transcription_Cofactors	
ENSMUSG00000063049	69260	Transcription_Cofactors	
ENSMUSG00000063382	80288	Transcription_Cofactors	
ENSMUSG00000063524	13806	Transcription_Cofactors	
ENSMUSG00000063568	231986	Transcription_Cofactors	
ENSMUSG00000064127	26896	Transcription_Cofactors	
ENSMUSG00000068267	12616	Transcription_Cofactors	
ENSMUSG00000069089	12572	Transcription_Cofactors	
ENSMUSG00000069495	227867	Transcription_Cofactors	
ENSMUSG00000069678	69837	Transcription_Cofactors	
ENSMUSG00000070803	56222	Transcription_Cofactors	
ENSMUSG00000071054	224903	Transcription_Cofactors	
ENSMUSG00000071359	237336	Transcription_Cofactors	
ENSMUSG00000072244	94088	Transcription_Cofactors	
ENSMUSG00000072258	21339	Transcription_Cofactors	
ENSMUSG00000073489	15951	Transcription_Cofactors	
ENSMUSG00000075000	641340	Transcription_Cofactors	
ENSMUSG00000078656	28084	Transcription_Cofactors	
ENSMUSG00000079056	56461	Transcription_Cofactors	
ENSMUSG00000079487	59024	Transcription_Cofactors	
ENSMUSG00000079704	546263	Transcription_Cofactors	
ENSMUSG00000091337	58521	Transcription_Cofactors	
ENSMUSG00000091519	664805	Transcription_Cofactors	
ENSMUSG00000092558	56771	Transcription_Cofactors	
ENSMUSG00000095567	57741	Transcription_Cofactors	
ENSMUSG00000097319	11632	Transcription_Cofactors	
