Ensembl ID	Entrez ID	Type
ENSMUSG00000024789	16452	Chromatin_Remodeling_Factors	
ENSMUSG00000024921	67155	Chromatin_Remodeling_Factors	
ENSMUSG00000024926	81601	Chromatin_Remodeling_Factors	
ENSMUSG00000025049	226182	Chromatin_Remodeling_Factors	
ENSMUSG00000025138	209011	Chromatin_Remodeling_Factors	
ENSMUSG00000025577	12416	Chromatin_Remodeling_Factors	
ENSMUSG00000025578	30951	Chromatin_Remodeling_Factors	
ENSMUSG00000026283	66262	Chromatin_Remodeling_Factors	
ENSMUSG00000026313	208727	Chromatin_Remodeling_Factors	
ENSMUSG00000026439	213464	Chromatin_Remodeling_Factors	
ENSMUSG00000026646	64707	Chromatin_Remodeling_Factors	
ENSMUSG00000026873	74016	Chromatin_Remodeling_Factors	
ENSMUSG00000026917	140858	Chromatin_Remodeling_Factors	
ENSMUSG00000026918	67382	Chromatin_Remodeling_Factors	
ENSMUSG00000028309	109331	Chromatin_Remodeling_Factors	
ENSMUSG00000028397	76804	Chromatin_Remodeling_Factors	
ENSMUSG00000028800	433759	Chromatin_Remodeling_Factors	
ENSMUSG00000028886	14050	Chromatin_Remodeling_Factors	
ENSMUSG00000028899	66464	Chromatin_Remodeling_Factors	
ENSMUSG00000028949	66993	Chromatin_Remodeling_Factors	
ENSMUSG00000029267	17765	Chromatin_Remodeling_Factors	
ENSMUSG00000029279	114642	Chromatin_Remodeling_Factors	
ENSMUSG00000029475	30841	Chromatin_Remodeling_Factors	
ENSMUSG00000029505	75560	Chromatin_Remodeling_Factors	
ENSMUSG00000029670	71777	Chromatin_Remodeling_Factors	
ENSMUSG00000029687	14056	Chromatin_Remodeling_Factors	
ENSMUSG00000029920	13990	Chromatin_Remodeling_Factors	
ENSMUSG00000030079	56505	Chromatin_Remodeling_Factors	
ENSMUSG00000030330	28019	Chromatin_Remodeling_Factors	
ENSMUSG00000030619	13626	Chromatin_Remodeling_Factors	
ENSMUSG00000030801	67773	Chromatin_Remodeling_Factors	
ENSMUSG00000031099	93761	Chromatin_Remodeling_Factors	
ENSMUSG00000031161	15185	Chromatin_Remodeling_Factors	
ENSMUSG00000031314	270627	Chromatin_Remodeling_Factors	
ENSMUSG00000031358	17692	Chromatin_Remodeling_Factors	
ENSMUSG00000031540	244349	Chromatin_Remodeling_Factors	
ENSMUSG00000031575	23808	Chromatin_Remodeling_Factors	
ENSMUSG00000031609	60406	Chromatin_Remodeling_Factors	
ENSMUSG00000031660	26992	Chromatin_Remodeling_Factors	
ENSMUSG00000031715	93762	Chromatin_Remodeling_Factors	
ENSMUSG00000032185	59035	Chromatin_Remodeling_Factors	
ENSMUSG00000032187	20586	Chromatin_Remodeling_Factors	
ENSMUSG00000032253	83946	Chromatin_Remodeling_Factors	
ENSMUSG00000033014	94093	Chromatin_Remodeling_Factors	
ENSMUSG00000033326	230674	Chromatin_Remodeling_Factors	
ENSMUSG00000034245	232232	Chromatin_Remodeling_Factors	
ENSMUSG00000035021	217578	Chromatin_Remodeling_Factors	
ENSMUSG00000035623	233532	Chromatin_Remodeling_Factors	
ENSMUSG00000036893	77683	Chromatin_Remodeling_Factors	
ENSMUSG00000036940	99982	Chromatin_Remodeling_Factors	
ENSMUSG00000038056	231051	Chromatin_Remodeling_Factors	
ENSMUSG00000038080	218214	Chromatin_Remodeling_Factors	
ENSMUSG00000038116	228829	Chromatin_Remodeling_Factors	
ENSMUSG00000039231	20937	Chromatin_Remodeling_Factors	
ENSMUSG00000039671	228880	Chromatin_Remodeling_Factors	
ENSMUSG00000039989	12418	Chromatin_Remodeling_Factors	
ENSMUSG00000041215	208146	Chromatin_Remodeling_Factors	
ENSMUSG00000041229	320595	Chromatin_Remodeling_Factors	
ENSMUSG00000043866	24075	Chromatin_Remodeling_Factors	
ENSMUSG00000044791	235626	Chromatin_Remodeling_Factors	
ENSMUSG00000045482	100683	Chromatin_Remodeling_Factors	
ENSMUSG00000047824	68911	Chromatin_Remodeling_Factors	
ENSMUSG00000047911	328440	Chromatin_Remodeling_Factors	
ENSMUSG00000048930	101206	Chromatin_Remodeling_Factors	
ENSMUSG00000049327	67956	Chromatin_Remodeling_Factors	
ENSMUSG00000051316	24074	Chromatin_Remodeling_Factors	
ENSMUSG00000052293	108143	Chromatin_Remodeling_Factors	
ENSMUSG00000053411	52609	Chromatin_Remodeling_Factors	
ENSMUSG00000053754	67772	Chromatin_Remodeling_Factors	
ENSMUSG00000054387	17248	Chromatin_Remodeling_Factors	
ENSMUSG00000054611	225876	Chromatin_Remodeling_Factors	
ENSMUSG00000054823	234135	Chromatin_Remodeling_Factors	
ENSMUSG00000057133	71389	Chromatin_Remodeling_Factors	
ENSMUSG00000057236	19646	Chromatin_Remodeling_Factors	
ENSMUSG00000059288	12593	Chromatin_Remodeling_Factors	
ENSMUSG00000059647	\N	Chromatin_Remodeling_Factors	
ENSMUSG00000061589	208266	Chromatin_Remodeling_Factors	
ENSMUSG00000062906	170787	Chromatin_Remodeling_Factors	
ENSMUSG00000063870	107932	Chromatin_Remodeling_Factors	
ENSMUSG00000067567	70315	Chromatin_Remodeling_Factors	
ENSMUSG00000071226	330409	Chromatin_Remodeling_Factors	
ENSMUSG00000078619	83796	Chromatin_Remodeling_Factors	
ENSMUSG00000078671	244059	Chromatin_Remodeling_Factors	
ENSMUSG00000089715	494448	Chromatin_Remodeling_Factors	
